brand,search_volume_relative,date,cpc_pred,search_volume_abs
비에날씬,0.45382,2019-12-08,93,118.54459511912742
비에날씬,0.80812,2019-12-09,93,211.0930726007431
비에날씬,0.61305,2019-12-10,93,160.1378609091293
비에날씬,0.94347,2019-12-11,93,246.44852398978261
비에날씬,0.74044,2019-12-12,93,193.41404083118132
비에날씬,1.68391,2019-12-13,93,439.86256482096394
비에날씬,0.55732,2019-12-14,93,145.58034849013288
비에날씬,0.82802,2019-12-15,93,216.2912512682118
비에날씬,1.21019,2019-12-16,93,316.11979103436784
비에날씬,0.84394,2019-12-17,93,220.44979420218675
비에날씬,0.68471,2019-12-18,93,178.85652841218487
비에날씬,1.58837,2019-12-19,93,414.906082916946
비에날씬,0.88773,2019-12-20,93,231.888399420702
비에날씬,0.625,2019-12-21,93,163.25938025969467
비에날씬,0.68869,2019-12-22,93,179.8961641456786
비에날씬,1.0191,2019-12-23,93,266.2042150762477
비에날씬,0.52945,2019-12-24,93,138.30028620559256
비에날씬,2.78264,2019-12-25,93,726.8673310173388
비에날씬,0.77229,2019-12-26,93,201.73373884921537
비에날씬,0.88773,2019-12-27,93,231.888399420702
비에날씬,1.18232,2019-12-28,93,308.83972874982754
비에날씬,0.52547,2019-12-29,93,137.2606504720988
비에날씬,0.625,2019-12-30,93,163.25938025969467
비에날씬,0.49363,2019-12-31,93,128.94356460414895
비에날씬,1.01114,2020-01-01,93,264.12494360926024
비에날씬,0.87579,2020-01-02,93,228.7694922202208
비에날씬,0.87977,2020-01-03,93,229.80912795371455
비에날씬,0.80414,2020-01-04,93,210.0534368672494
비에날씬,1.18232,2020-01-05,93,308.83972874982754
비에날씬,0.98328,2020-01-06,93,256.84749347480414
비에날씬,1.84713,2020-01-07,93,482.4980784945437
비에날씬,0.99522,2020-01-08,93,259.96640067528534
비에날씬,1.26592,2020-01-09,93,330.6773034533643
비에날씬,0.74442,2020-01-10,93,194.45367656467505
비에날씬,0.90764,2020-01-11,93,237.08919023825484
비에날씬,1.15843,2020-01-12,93,302.599302198781
비에날씬,2.13375,2020-01-13,93,557.3675242065976
비에날씬,1.9785,2020-01-14,93,516.8138941500895
비에날씬,1.22213,2020-01-15,93,319.23869823484904
비에날씬,0.832,2020-01-16,93,217.33088700170555
비에날씬,0.80414,2020-01-17,93,210.0534368672494
비에날씬,0.68471,2020-01-18,93,178.85652841218487
비에날씬,0.69665,2020-01-19,93,181.97543561266608
비에날씬,0.65286,2020-01-20,93,170.53683039415083
비에날씬,0.72452,2020-01-21,93,189.2554978972064
비에날씬,1.95461,2020-01-22,93,510.5734675990429
비에날씬,0.43789,2020-01-23,93,114.38344003506832
비에날씬,0.35429,2020-01-24,93,92.54586533153156
비에날씬,0.6449,2020-01-25,93,168.45755892716335
비에날씬,0.54538,2020-01-26,93,142.46144128965165
비에날씬,0.81608,2020-01-27,93,213.17234406773062
비에날씬,1.79538,2020-01-28,93,468.980201809041
비에날씬,1.2699,2020-01-29,93,331.71693918685804
비에날씬,1.40525,2020-01-30,93,367.07239057589754
비에날씬,0.97929,2020-01-31,93,255.80524559122622
비에날씬,0.93949,2020-02-01,93,245.4088882562889
비에날씬,1.32563,2020-02-02,93,346.2744516058545
비에날씬,1.30573,2020-02-03,93,341.07627293838584
비에날씬,0.6648,2020-02-04,93,173.65573759463203
비에날씬,0.55732,2020-02-05,93,145.58034849013288
